Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;22,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;11,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;51,20000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;39,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;84,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;35,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;15,20000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;63,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;42,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;52,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;40,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;31,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;21,20000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;22,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;6,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5221007;Taquaral de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;51,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;90,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;44,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;58,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;57,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;34,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;83,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;55,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
